sin_identity,schedule_number,special_item_number,sin_group_title,sin_description1,sin_description2,sin_order,co_fname,co_lname,co_phone,co_email
500004520,BPA       ,MRFS                , ,Maintenance Repair Facility Supplies (MRFS),"The Maintenance Repair Facility Supplies (MRFS) BPA includes a broad range of items including but not limited to hardware, tools and tool Cabinets, and paints, sealants, and adhesives; this includes items such as hand and power tools, drills, tool cabinets, nuts, bolts, hoses and valves, paints, paint brushes, safety equipment, and portable generators. In addition to tools and hardware, MRFS offers cleaning compounds and related dispensers, non-motorized cleaning equipment and trash receptacles, paper products and related dispensers, and motorized floor cleaning equipment and accessories; this includes items such as disinfectants, degreasers, glass cleaners, laundry and dish detergents, bleach, hand soaps and sanitizers, brooms, mops, brushes, trash receptacles and bags, toilet paper, paper towels, facial tissues, seat liners, vacuum cleaners, wet/dry vacs, and floor buffers, polishers, and burnishers. ",,,,,
500004848,MAS       ,541612LOB           ,Human Capital - Human Resources,Human Resources Line of Business (HRLOB),"Technology Solutions in support of other SINS in the Human Capital Category. Including, but not limited to:
Software, technology, systems and related solutions. Services and products offered under this SIN must be in support of one or more of the 15 Functions/ 54 Subfunctions in the Human Capital Lifecycle. Please see the Human Capital Business Reference Model (HCBRM) for a full list of these functions, or refer to the other SINS in this category. The HCBRM as developed by the Office of Personnel Management (OPM) as of August 2017 is available here: 

https://www.opm.gov/services-foragencies/hr-line-of-business/hc-business-referencemodel/hcbrm-map.pdf. 

The Human Capital Business Reference Model as of August 2017 or later may be used.",,,,,
398,23 V      ,096 3N              ,Tires,Medium Truck-Bus (New),New tires shall have 5-10% recycled content and fleet vehicles shall use retreads when practicable in compliance with E.O. 13149.,0,,,,
400,67,19 1                , ,"Film, Paper, Chemical, Processing Equipment for Photographic and Radiographic Applications  ","This SIN includes a wide range of film, paper, chemicals, and related equipment for photographic and radiographic applications. Film includes - aerial, still picture, 110, 120, 126, 220, 35mm, 70mm sheet, self-process, motion picture, graphic arts, industrial/x-ray, single-use cameras. Paper includes - drawing and documentation reproduction, instrumentation recording. Chemicals include - black & white/color, industrial/x-ray and directly related equipment - black & white /color wet-processing, silver recovery, aluminum and plastic plates, quality control and traditional darkroom equipment (e.g., -). This SIN includes directly related accessories and attachments.",1,,,,
401,67,19 100              , ,Photographic Services and Solutions,"(Total Small Business Set-Aside) Includes a full range of Photographic Film, Imaging, Digital Services and Multimedia Duplication, Conversion Services and Web-Site Photo Storage Services. Film Processing Services include all sizes, colors and types (e.g., negatives, microfilm, 16/35mm & intermediates color reversal, reprints, duplicates of slides and prints enhancements, enlargements, filmstrips & slides (e.g., master filmstrip photography, master original (2x2) slide photography and duplicate, color positive filmstrip and color positive (2x2) slide duplicate). Imaging/Digital Services include (e.g., desktop, scanning, photo finishing, output retouching, photo restoration and recovery, aerial, archiving, C-41 negatives and inter-negatives digital photography & darkroom passport photos, electronic file transfer, imaging client-generated slides, mounting or prints, presentation slides and portable displays. Portable Displays are imaging exhibits used for (e.g., trade shows, displays, presentations, meeting and conferences) which comes with various configurations e.g., headers graphics, lights shelving, back lighting, and photo mural and panel inserts. Includes a wide range of media duplication (e.g., film-to-film, tape-to-tape, CD-to-CD, disk-to-disk) and conversion services (e.g., film-to-tape, tape-to-film, film-to-CD, CD-to-internet, tape-to-CD, microfilm-to-tape, photo-to-slides, files-to-presentation slides). These services consist of any media of choice. Other direct related services may include (e.g., editing, scanning, restoration, sound services (music score, sound effects, sound track quality and other sound-related services), internet, video tape captioning and subtitle services, edge numbering, scratch removal, print cleaning, packaging, film treatment, loading of cassettes, animations and time encoding.  Under Web-Site Photo Storage Services, customer pictures are scanned and posted to a web site maintained by the vendor on a short/long term basis. The customer can then view the scanned images of their photographs, copy the pictures to their hard disk or send by electronic mail. Additional services may be offered such (e.g., reprints, enlargements, photographic paper and special print, scanning, certain file format, proportioned, edit, crop, sequence layout, size, package, re-order).  This service may be ordered online, mail order, or delivered.  All directly related support products, accessories, attachments and supplies are offered under SIN 262 53. ",2,,,,
405,36,20 300              , ,Projectors & Electronic Whiteboards,"Includes a wide range of projectors and electronic whiteboards.  Projectors include both digital and still-picture projectors, (e.g., front screen, rear screen) and LCD, DLP multimedia, high output, theater projector wall/ceiling, opaque, tripod, palm-sized ceiling & overhead, 35mm slide projectors & viewers, and projecting sets including 16/35mm motion picture, silent/sound.

Directly related supplies, attachments and accessories (e.g., digital memory cards, transparency viewer, transparency lenses, and wireless single/dual remote control) are also included Electronic Whiteboards are interactive electronic whiteboards that can be used in conjunction with projectors to project digital images on the electronic whiteboard.  It allows the user to capture, communicate, and interact in real-time, edit, and publish, or e-mail the information right from the PC desktop.  Includes directly related attachments and accessories (e.g., digital memory cards, transparency viewer, lenses, easels, slide mounters to produce 2x2 slides mounted with 35mm transparency materials, including polyester base films, and wireless single/dual remote control(MAS EXPRESS)
",0,,,,
406,67,20 316              , ,Cameras and Accessories mm,"This SIN includes a wide range of cameras but is not limited: digital and conventional, photo ID Cameras, Microfilm and more. Digital requires no film required, images stored onto memory media (e.g., PC Cards, memory stick, Smart Media Cards, Compact Flash Cards, and, Floppy Disks), transfer digital images to your PC desktop publishing, web or attach to electronic mail., and conveniently used with flash memory card reader/writer to allow the user to download the pictures to the flash card in seconds. Conventional include (e.g., 35mm types - Still Picture, Advanced Processing System, Single-Window Combination Range and Viewfinder, Single-Lens Reflex (SLR), Self-Processing, Professional Type 2x2 SLR). Photo ID Cameras including Digital Card Print Systems - used to produce high-quality color and black and white photo identification cards/passes such as employee ID cards and passports with digital card print system. May include magnetic strip encoding, bar coding, or other security type features. Includes directly related attachments, accessories and supplies (e.g., plastic cards, pouches, card and badge attachment, photo die cutters, slot punches, punch laminators, signature capture devices, ID card software, magnetic readers, writers, encoders, inserts, and digital printer supplies. Microfilm Cameras include (e.g., rotary type flow, planetary type (flatbed), Step and Repeat. Microfilm Camera Processors) and other related cameras. : This SIN includes directly related software, attachments and accessories (e.g., electronic and battery flash units, lenses and filters, cases (bags), photo exposure lightmeters, photo exposure light meters, densitometers and sensitometers, spectrophotometers, tripods, digital picture frame, desktop station, adapters, and battery pack) and kits (e.g., global positioning system, connection kit) and outfits.",4,,,,
407,67,20 320              , ,Photo Digital Technologies ,"Desktop Digital Photo Equipment includes, but may not be limited to digital film scanners, digital photo scanners (minimum 600 x 1200 dpi), photo quality color inkjet printers (minimum of 600 x 1200 dpi, 326 bit), wide-format printers, duplicating equipment, and digital photo enhancement/manipulation software. This equipment is meant for use in a typical office or remote site setting to pictorially augment reports, case files, presentations, etc. on a small scale. Includes directly related attachments and accessories.",5,,,,
410,36,47 355              , ,Dictating and Transcribing Machines and Systems,"Includes professional PC Dictation Systems that offer the user state-of-the art technology and digitize recording with a full voice recording system interface via network connected card reader with superior digital sound. No need for special telephone connections or wireless networks, superior digital sound quality, ID programmable to eliminate user input.  The user has the option to instantly access deletions and re-record hands free. Restore missing information hands free without missing a word. The products may include hand-held voice/data digital recorder with multi-function LCD display, voice documents, personal voice messaging, card reader, pc-based dictation application and digital kits.  Additional features for enhancement purposes are software package, high-quality microphone designed for speeches, dedicated mouse, internal speaker for voice playback, sound card etc. Units are available in standard, mini, and micro cassette configurations.",0,,,,
413,36,50 156              , ,Personal & Document Identification Systems,"Includes Personal and Document Identification Systems that include, but not limited to: eye, face, palm, fingerprint and voice recognition systems, public (private) key infrastructure are excluded (PKI). The Identification Systems may include but not limited to photo identification cameras & systems and embossed card systems. Systems may be PC assessable and may feature Smart Card Technology, such as, encoded magnetic strips, bar codes, signatures, etc. This SIN also includes all related software, attachments, accessories and supplies.",0,,,,
415,36,50 177              , ,Date and Time Stamps,"Includes electric/non-electric date and stamps which automatically print date and time (e.g., month, date, and time, number and date, TEXT stamp for signature or message and check signer. Includes directly related accessories, attachments and supplies.  (MAS EXPRESS)",0,,,,
422,36,51 100              ,Copiers and Consumable Supplies,Copiers,"Includes analog, engineering, digital/multi-functional copiers having single-color and/or full-color imaging in both desktop and console configurations. Analog copiers have only copying capability.  Digital/Multifunctional copiers have capabilities such as copying, printing, faxing, scanning to print/file, and/or facsimile with, post finishing solutions connected to individual and network stations with solutions. The Multi-functional digital copier may have integrated functional capabilities or modular expansion capabilities that permit functional upgrading.  Both analog and digital/multifunctional copiers may have image enhancement capabilities (e.g., image magnification, reduction, contrast), paper handling capabilities (e.g., automatic paper selection, multiple paper trays, duplexing, collating), and/or document finishing capabilities (e.g., stapling, folding, punching).  Copier speeds may vary from under 25 copies per minute to over 100 copies per minute with copying volumes from under 1,000 copies per month to over 450,000 copies per month.  Engineering copiers also include both analog and digital copiers (e.g., copiers capable of using transparent and opaque originals to produce plain paper, vellum or polyester film copies and capable of copying A to E size drawings. Full color, non-laser copiers, and other non-standard copier equipment (e.g., copy boards and easels) are included; also included are copy control devices and systems for equipment under this SIN that can be used to limit copier access to authorize users and to record copier usage. The devices include mechanical and electrical copy-controls (e.g., key counters, cartridges, interface kits) and copy-control systems (e.g., central data collection units, and related connection devices as an integrated package).

NOTE: Copiers purchased under this SIN with speeds under 100 copies per minute must meet the energy efficiency requirements set forth in ENERGY STAR specifications and may be registered in the Electronic Product Environmental Assessment Tool (EPEAT) registry. Applicable EPEAT-registered products are available at the Bronze level or higher.",0,,,,
500004515,36,36 500              ,Order-Level Materials (OLMs),Order-Level Materials (OLMs),"Order-Level Materials (OLMs) are supplies and/or services acquired in direct support of an individual task or delivery order placed against a Federal Supply Schedule (FSS) contract or FSS blanket purchase agreement (BPA). OLMs are not defined, priced, or awarded at the FSS contract level.  They are unknown before a task or delivery order is placed against the FSS contract or FSS BPA. OLMs are only authorized for inclusion at the order level under a Time-and-Materials (T&M) or Labor-Hour (LH) Contract Line Item Number (CLIN) and are subject to a Not To Exceed (NTE) ceiling price.  OLMs include direct materials, subcontracts for supplies and incidental services for which there is not a labor category specified in the FSS contract, other direct costs (separate from those under ODC SINs), and indirect costs.  OLMs are purchased under the authority of the FSS Program and are not ""open market items.""  

Items awarded under ancillary supplies/services or other direct cost (ODC) SINs are not OLMs.  These items are defined, priced, and awarded at the FSS contract level, whereas OLMs are unknown before an order is placed.  Ancillary supplies/services and ODC SINs are for use under all order type CLINs (Fixed-Price (FP), T&M, and LH), whereas the Order-Level Materials SIN is only authorized for use under T&M and LH order CLINs.  

The Order-Level Materials SIN is only authorized for use in direct support of another awarded SIN.  Price analysis for OLMs is not conducted when awarding the FSS contract or FSS BPA; therefore, GSAR 538.270 and 538.271 do not apply to OLMs.  OLMs are defined and priced at the ordering activity level in accordance with GSAR clause 552.238-82 Special Ordering Procedures for the Acquisition of Order-Level Materials.  Prices for items provided under the Order-Level Materials SIN must be inclusive of the Industrial Funding Fee (IFF).  The cumulative value of OLMs in an individual task or delivery order cannot exceed 33.33% of the total value of the order.",,,,,
423,36,51 100C             , ,"Cost-Per-Copy Plan for Copiers (to include Analog, Digital, Multifunctional & Engineer Copiers)","Includes cost-per-copy plans; the customer identifies the guaranteed minimum number of copies required per month and the required functional capability of the copier equipment. As necessary to satisfy the customer's requirements, the contractor provides the required copier equipment, including accessories, attachments, copy-control devices and systems, all consumable supplies (except copying paper and transparency films), and full-service maintenance including repair parts. The customer pays a fixed monthly fee based on the customer's guaranteed minimum number of copies per month. For copies over the guaranteed minimum, the customer pays an additional fee for each copy made.

NOTE: Copiers purchased under this SIN with speeds under 100 copies per minute must meet the energy efficiency requirements set forth in ENERGY STAR specifications and may be registered in the Electronic Product Environmental Assessment Tool (EPEAT) registry. Applicable EPEAT-registered products are available at the Bronze level or higher.",0,,,,
500004512,65 II C   ,C-6                 ,OPERATORY ITEMS,"Light, Curing Units", ,,,,,
424,36,51 100F             , ,Flat-Rate Monthly Fee Copying Plan For Copiers,"Includes flat-rate monthly-fee plans; the customer identifies the approximate number of copies required per month (i.e., monthly volume level) and the required functional capability of the copier equipment.  As necessary to satisfy the customer's requirements, the contractor provides the required copier equipment, accessories, attachments, copy-control devices and systems, all consumable supplies (except copying paper and transparency films), and full maintenance services including repair parts.  The customer pays a flat-rate monthly fee for copier, regardless of the number of copies made each month.

NOTE: Copiers leased under this SIN with speeds under 100 copies per minute must meet the energy efficiency requirements set forth in ENERGY STAR specifications.",0,,,,
427,36,51 208              , ,"Maintenance Service Agreement For all Other Equipment Repair, replacement, and spare parts for equipment other than copiers, including their associated accessories and attachments.","A maintenance service agreement consists of preventative and repair(remedial) services.  Preventative consists of those scheduled service calls necessary to maintain the equipment in first-class operating condition (e.g., cleaning, lubricating, adjusting, and replacing parts when needed). Repair (remedial) service consist of those unscheduled service calls necessary for repairs not caused by fire, water, accident, fluctuations in electrical power or the customer.  The maintenance service agreement includes the cost of labor, replacement parts, and supplies (excluding expendable operating supplies).  In the event the Government's equipment requires initial repair or overhaul prior to acceptance by the contractor for coverage under a maintenance service agreement, the charges for such repairs, including replacement parts and labor, will usually not be covered under the initial maintenance service  agreement. In addition, charges for labor and replacement parts for complete rebuilding or overhauling of the Government's equipment are usually not included in the maintenance service agreement.",0,,,,
429,36,51 212              , ,Post Copying/Finishing Equipment and Supplies,"Iincludes paper folding, paper gathering, inserting, collating and finishing, paper cutting and all other related equipment.",0,,,,
431,36,51 229              , ,Digital Duplicating Equipment,"Digital duplicators scan original  documents and automatically form an intermediate stencil master that transfers liquid ink to the paper to produce the desired number of copies at speeds up to 150+ copies per minute.  Digital duplicators are capable of fast, large-size copying runs in single- color and/or full-color.  When connected directly to a digital computer for desktop publishing applications, many digital duplicators can operate as high-speed (e.g., 120 copies per minute), high-quality printers capable of producing copies equivalent to those produced on high-speed, laser-quality printers with high resolution prints.  Digital duplicators fill the gap between conventional copiers, which are used for a small number of copies and offset presses, which are used for a large number of copies.  This SIN includes directly related supplies, accessories and attachments (e.g., cabinets, digital duplicator and color drums, automatic document feeders, edit boards, computer interface equipment, paper tray, tape marker, high capacity sheet feeders, interface kits, sorters, tape dispensers, and controllers for imaging processing, spirit fluids, spirit correction fluids, masters, black and color inks, job separator colored tape.

NOTE: Commercially available products under this SIN may be registered in the Electronic Product Environmental Assessment Tool (EPEAT) registry. Applicable EPEAT-registered products are available at the Bronze level or higher.",0,,,,
432,36,51 402              , ,"Multi-Media Readers, Reader-Printers and Systems","includes a wide range of Readers and Reader-Printers - electronic reader scanner systems, aperture card, microfilm, microfilm and universal, microfiche, microfilm - automated retrieval, microfiche, high-volume output reader-printers, sorter/collators and other related equipment. Includes directly accessories, and attachments (e.g., microfilm reel, cartridges/magazines and aperture cards (with/without film).",0,,,,
433,36,51 409              , ,"Network, Optical Imaging Systems and Solutions","The user will have the capability to search for documents from a variety of sources such as desktop computer, intranet/internet, LAN/WAN. The software will support the user's needs in capturing data in typed print, handprint, mark sense and barcode, electronic data and paper documents into an electronic format in a reliable, secured operating environment. ",0,,,,
435,36,51 509              , ,Network Connectivity Support Services,"Network Connectivity Support Services must be able to support industry's software applications, network operating systems (e.g., Windows 95, 98, NT, Netware) and other related networks that are compatible to the agency's infrastructure. The qualified personnel, materials, spare parts, tool, hardware/ software and network components necessary to perform the service will be provided by the contractor. The capability to support, stand-alone and integrated digital equipment (e.g., digital/multifunctional digital copiers, Photo ID Systems, Mail Management Systems, Network Optical & Imaging Systems and Laboratory Systems) must be provided by the contractor.",0,,,,
436,36,51 55               , ,Rental Plan for Copiers,"Includes rental plans for all copier equipment. Rental rates cover unrestricted normal use of the rented equipment up to the maximum number of copies (e.g., number of copies per month) identified in the rental agreement. An excess charge per copy is usually accessed for copies over the maximum number of copies provided for under the rental agreement.  The rental rate includes full-maintenance service (repairs, adjustments, replacements) by authorized service technicians, at no additional cost to the customer. Rental rates do not usually include the cost of consumable supplies.

NOTE: Copiers rented under this SIN with speeds under 100 copies per minute must meet the energy efficiency requirements set forth in ENERGY STAR specifications.",0,,,,
437,36,51 56               , ,Repair of Government-Owned Equipment (all equipment covered under this schedule) for equipment not under Maintenance Service Agreement,"This SIN covers repair of any type of copier equipment offered under this schedule and not covered under a maintenance service agreement. Includes directly related attachments, supplies and accessories.",0,,,,
438,36,51 57               , ,Maintenance Service Agreement For Copiers,"This SIN includes a maintenance service agreement consisting of preventative and repair (remedial) services. Preventative consists of those scheduled service calls necessary to maintain the equipment in first-class operating condition (e.g., cleaning, lubricating, adjusting, and replacing parts when needed). Repair (remedial) services consist of those unscheduled service calls necessary for repairs not caused by fire, water, accident, and fluctuations in electrical power or customer abuse.  The Maintenance Service Agreement and Repair Service include the cost of labor, transportation, replacement/spare parts, (excluding consumable operating supplies).  The greater the distance from the maintenance facility to the user the higher the monthly fees. In the event the Government's equipment requires initial repair or overhaul prior to acceptance by the contractor for coverage under a maintenance service agreement, the charges for such repairs, including replacement parts and labor, and for a complete rebuilding or overhauling of Government's equipment are usually not included in the preventative service agreement.",0,,,,
439,36,51 58               , ,Lease to Ownership Plans (LTOP) Copiers,"Lease-to-Ownership Plans(LTOP) are intended for customers who want to lease all types of copiers to secure ownership.  At the end of the lease period and upon final payment of all charges due, the Title: and the leased equipment is immediately transferred from the contractor to the government customer.  The lease rate does not include the cost of maintenance or consumable supplies.

NOTE: Copiers leased under this SIN with speeds under 100 copies per minute must meet the energy efficiency requirements set forth in ENERGY STAR specifications.

",0,,,,
440,36,51 58A              , ,Operating Lease Plan For Copiers,"Includes Operating Lease plans applicable to copiers only.  An operating Lease plan allows Federal customers to lease the equipment for a monthly rate over a period of time, with NO intent to purchase the equipment at the end of the lease agreement period.  Ownership of the asset remains with the lessor.

NOTE: Copiers leased under this SIN with speeds under 100 copies per minute must meet the energy efficiency requirements set forth in ENERGY STAR specifications.",0,,,,
442,36,51 B36 2A           , ,International - All Equipment under this Schedule,"Includes overseas purchase of copiers, accessories, supplies; rental/lease of copiers; and maintenance and repair and other directly related requirements. This SIN includes all directly related accessories, attachments, and supplies.",0,,,,
443,48,451 1               , ,EXPRESS SMALL PACKAGE AND EXPRESS HEAVYWEIGHT DELIVERY SERVICES,"Commercial delivery services for Express Same Day, Next Day, Two Day, and Three Day delivery of extremely urgent letters, small packages, and heavyweight shipments, including any accessorial services, offered to the general public.  Contractors may offer any combination of days or weight ranges for either the Express Small Package or the Express Heavyweight Delivery Services.

These services may include environmentally sustainable options designed through Environmental Protection Agency(EPA) SmartWay Program that reduce the impact of freight transport on the environment in the areas of fuel consumption,  greenhouse gas, and emissions of air toxics.",8,,,,
444,48,451 2               , ,GROUND SMALL PACKAGE DELIVERY SERVICES,"Commercial delivery services for Ground day-definite delivery of small package shipments, including any accessorial services, offered to the general public.

These services may include environmentally sustainable options designed through Environmental Protection Agency(EPA) SmartWay Program that reduce the impact of freight transport on the environment in the areas of fuel consumption,  greenhouse gas, and emissions of air toxics.",9,,,,
445,51 V      ,105 001             ,HARDWARE STORE DEPARTMENT,"Hardware Store, Home Improvement Center, Industrial or General Supply Store, or Industrial Maintenance Repair and Operations (MRO) Distributor - Store Front ","Products within the scope of a hardware, general merchandise store, specialty supply store, or industrial supply store/distributor to maintain, operate, and repair facilities equipment and operations including but not limited to: flooring, fencing, hardware, building materials and equipment, tools, appliances, lighting, electric, paint and other coatings and compounds, oils and lubricants, compounds and abrasives  plumbing, lawn and garden, motors, machinery, industrial equipment such as woodworking, metalworking, plastics and accessories, evolving MRO technology and accessories, welding, material handling, carts, and dock equipment; HVAC, cleaning, and irrigation equipment, work safety clothing, footwear, fall protection, first aid safety, personal protective equipment and other commercial specialty tools or task-specific tools used in a non-traditional manner, such as for aircraft maintenance tools and equipment, supplies, or items needed to support government or military operations, excludes items that are MIL-SPEC and NSN specific.  These items must meet government requirements for energy-efficiency or Green (Energy Star or Federal Energy Management Program (FEMP)-designated), water-efficient, products, and/or the use of non-ozone depleting substances, as applicable to product groups with designation.",1,,,,
500004516,58 I      ,58 500              ,Order-Level Materials (OLMs),Order-Level Materials (OLMs),"Order-Level Materials (OLMs) are supplies and/or services acquired in direct support of an individual task or delivery order placed against a Federal Supply Schedule (FSS) contract or FSS blanket purchase agreement (BPA).  OLMs are not defined, priced, or awarded at the FSS contract level.  They are unknown before a task or delivery order is placed against the FSS contract or FSS BPA.  OLMs are only authorized for inclusion at the order level under a Time-and-Materials (T&M) or Labor-Hour (LH) Contract Line Item Number (CLIN) and are subject to a Not To Exceed (NTE) ceiling price.  OLMs include direct materials, subcontracts for supplies and incidental services for which there is not a labor category specified in the FSS contract, other direct costs (separate from those under ODC SINs), and indirect costs.  OLMs are purchased under the authority of the FSS Program and are not ""open market items.""  

Items awarded under ancillary supplies/services or other direct cost (ODC) SINs are not OLMs.  These items are defined, priced, and awarded at the FSS contract level, whereas OLMs are unknown before an order is placed.  Ancillary supplies/services and ODC SINs are for use under all order type CLINs (Fixed-Price (FP), T&M, and LH), whereas the Order-Level Materials SIN is only authorized for use under T&M and LH order CLINs.  

The Order-Level Materials SIN is only authorized for use in direct support of another awarded SIN.  Price analysis for OLMs is not conducted when awarding the FSS contract or FSS BPA; therefore, GSAR 538.270 and 538.271 do not apply to OLMs.  OLMs are defined and priced at the ordering activity level in accordance with GSAR clause 552.238-82 Special Ordering Procedures for the Acquisition of Order-Level Materials.  Prices for items provided under the Order-Level Materials SIN must be inclusive of the Industrial Funding Fee (IFF).  The cumulative value of OLMs in an individual task or delivery order cannot exceed 33.33% of the total value of the order.",,,,,
446,51 V      ,105 002             ,HARDWARE STORE DEPARTMENT,"Hardware Store, Home Improvement Center, or MRO - Catalog","- Products and equipment including but not limited to: flooring, fencing, hardware, building materials, tools, appliances, electric, paint, plumbing, lawn and garden, motors, shop, machining, welding, material handling; carts, trucks and dock; HVAC, cleaning and irrigation, equipment. These items must meet government requirements for energy-efficiency or Green (Energy Star or Federal Energy Management Program (FEMP)-designated), water-efficient, products, and/or the use of non-ozone depleting substances, as applicable to product groups with designation.

SIN 105 002 currently has both Executive Order 13514 compliant and non compliant items.  We will focus on the following products as applicable to the proposed SINs for the initial transformation from Brown to Green under the 51V schedule.  

Appliances		
Clothes Washers		 
Dehumidifiers	
Dishwashers		
Freezers
Refrigerators
Room Air Cleaners & Purifiers
Water Coolers

Heating & Cooling
Air Conditioning, Central
Air Conditioning, Room
Room Air Cleaners & Purifiers

Plumbing
Water Heater, Gas Condensing
Water Heater, Heat Pump
Water Heater, High Efficiency Gas Storage
Water Heater, Solar
Water Heater, Whole Home Gas Tankless",2,,,,
